2024-11-10 15:00:47,842 - RPI-Temperature-Monitor - ERROR - Failed to initialize LCD display: [Errno 5] Input/output error
2024-11-10 15:00:48,291 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:00:53,519 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:00:58,745 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:04,197 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:09,426 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:14,655 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:19,883 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:25,333 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:30,562 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:36,013 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:41,684 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:46,913 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:52,808 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:01:58,037 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:03,487 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:08,714 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:13,943 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:19,393 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:24,622 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:29,851 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:35,079 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:40,305 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:45,533 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:50,983 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:02:56,211 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:01,439 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:06,666 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:12,116 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:17,343 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:22,570 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:27,797 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:33,469 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:38,920 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:44,147 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:49,376 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:03:54,825 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:00,272 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:05,499 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:10,950 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:16,629 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:21,853 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:27,085 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
2024-11-10 15:04:33,200 - RPI-Temperature-Monitor - INFO - Temperature: 20 C, Humidity: 55 %
